1992–93 UEFA Champions League,Tournament details,Dates,19 August – 2 September 1992 (qualifying),16 September 1992 – 26 May 1993 (competition proper)
19 August 1992,18:30 UTC+1,Shelbourne,0–0,Tavriya Simferopol
19 August 1992,17:30 UTC+1,Valletta,1–2,Maccabi Tel Aviv
19 August 1992,16:00 UTC+1,KÍ,1–3,Skonto
19 August 1992,18:15 UTC+1,Olimpija Ljubljana,3–0,Norma Tallinn
2 September 1992,19:00 UTC+1,Tavriya Simferopol,2–1,Shelbourne
2 September 1992,19:00 UTC+1,Maccabi Tel Aviv,1–0,Valletta
2 September 1992,18:00 UTC+2,Skonto,3–0,KÍ
2 September 1992,17:00 UTC+1,Norma Tallinn,0–2,Olimpija Ljubljana
16 September 1992,18:00,IFK Göteborg,2–0,Beşiktaş
16 September 1992,18:00,Lech Poznań,2–0,Skonto
16 September 1992,19:30,Rangers,2–0,Lyngby
16 September 1992,20:15,Stuttgart,3–0,Leeds United
16 September 1992,17:00,Slovan Bratislava,4–1,Ferencváros
16 September 1992,20:30,Milan,4–0,Olimpija Ljubljana
16 September 1992,19:00,Kuusysi,1–0,Dinamo Bucureşti
16 September 1992,19:30,Glentoran,0–5,Marseille
16 September 1992,17:00,Maccabi Tel Aviv,0–1,Club Brugge
16 September 1992,19:30,Austria Wien,3–1,CSKA Sofia
16 September 1992,20:00,Sion,4–1,Tavriya Simferopol
16 September 1992,20:30,Union Luxembourg,1–4,Porto
16 September 1992,19:00,AEK Athens,1–1,APOEL
16 September 1992,20:15,PSV Eindhoven,6–0,FK Žalgiris
16 September 1992,17:30,Víkingur,0–1,CSKA Moscow
16 September 1992,20:45,Barcelona,1–0,Viking
30 September 1992,21:00,Beşiktaş,2–1,IFK Göteborg
30 September 1992,17:30,Skonto,0–0,Lech Poznań
30 September 1992,19:00,Lyngby,0–1,Rangers
30 September 1992,20:05,Leeds United,4–1,Stuttgart
9 October 1992,20:15,Stuttgart,1–2,Leeds United
30 September 1992,19:00,Ferencváros,0–0,Slovan Bratislava
30 September 1992,20:30,Olimpija Ljubljana,0–3,Milan
30 September 1992,15:30,Dinamo Bucureşti,2 – 0 (aet),Kuusysi
30 September 1992,19:00,Marseille,3–0,Glentoran
30 September 1992,20:30,Club Brugge,3–0,Maccabi Tel Aviv
30 September 1992,19:15,CSKA Sofia,3–2,Austria Wien
30 September 1992,19:00,Tavriya Simferopol,1–3,Sion
30 September 1992,21:30,Porto,5–0,Union Luxembourg
30 September 1992,19:30,APOEL,2–2,AEK Athens
30 September 1992,18:45,FK Žalgiris,0–2,PSV Eindhoven
30 September 1992,19:00,CSKA Moscow,4–2,Víkingur
30 September 1992,20:30,Viking,0–0,Barcelona
21 October 1992,19:00,IFK Göteborg,1–0,Lech Poznań
21 October 1992,20:05,Rangers,2–1,Leeds United
21 October 1992,20:15,Slovan Bratislava,0–1,Milan
21 October 1992,18:00,Dinamo Bucureşti,0–0,Marseille
21 October 1992,20:30,Club Brugge,2–0,Austria Wien
21 October 1992,20:30,Sion,2–2,Porto
21 October 1992,18:00,AEK Athens,1–0,PSV Eindhoven
21 October 1992,20:00,CSKA Moscow,1–1,Barcelona
4 November 1992,18:30,Lech Poznań,0–3,IFK Göteborg
4 November 1992,20:05,Leeds United,1–2,Rangers
4 November 1992,20:30,Milan,4–0,Slovan Bratislava
4 November 1992,19:00,Marseille,2–0,Dinamo Bucureşti
4 November 1992,19:30,Austria Wien,3–1,Club Brugge
4 November 1992,21:30,Porto,4–0,Sion
4 November 1992,20:15,PSV Eindhoven,3–0,AEK Athens
4 November 1992,20:45,Barcelona,2–3,CSKA Moscow
26 May 1993,20:15,Marseille,1–0,Milan
25 November 1992,19:30,Rangers,2 – 2,Marseille
25 November 1992,20:30,Club Brugge,1 – 0,CSKA Moscow
9 December 1992,20:30,Marseille,3 – 0,Club Brugge
9 December 1992,20:30,CSKA Moscow,0 – 1,Rangers
3 March 1993,20:30,CSKA Moscow,1 – 1,Marseille
3 March 1993,20:30,Club Brugge,1 – 1,Rangers
17 March 1993,20:30,Marseille,6 – 0,CSKA Moscow
17 March 1993,19:30,Rangers,2 – 1,Club Brugge
7 April 1993,20:30,Marseille,1 – 1,Rangers
7 April 1993,20:30,CSKA Moscow,1 – 2,Club Brugge
21 April 1993,20:30,Club Brugge,0 – 1,Marseille
21 April 1993,19:30,Rangers,0 – 0,CSKA Moscow
25 November 1992,20:30,Milan,4 – 0,IFK Göteborg
25 November 1992,19:30,Porto,2 – 2,PSV Eindhoven
9 December 1992,20:30,IFK Göteborg,1 – 0,Porto
9 December 1992,20:30,PSV Eindhoven,1 – 2,Milan
3 March 1993,20:30,PSV Eindhoven,1 – 3,IFK Göteborg
3 March 1993,19:30,Porto,0 – 1,Milan
17 March 1993,20:30,IFK Göteborg,3 – 0,PSV Eindhoven
17 March 1993,20:30,Milan,1 – 0,Porto
7 April 1993,20:30,IFK Göteborg,0 – 1,Milan
7 April 1993,20:30,PSV Eindhoven,0 – 1,Porto
21 April 1993,20:30,Milan,2 – 0,PSV Eindhoven
21 April 1993,19:30,Porto,2 – 0,IFK Göteborg
1993–94 UEFA Champions League,Tournament details,Dates,18 August – 1 September 1993 (qualifying),15 September 1993 – 18 May 1994 (competition proper)
15 September 1993,21:30,Porto,2–0,Floriana
15 September 1993,20:30,IA Akranes,1–0,Feyenoord
15 September 1993,20:30,AS Monaco,1–0,AEK Athens
